Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
OCO,0 days 00:01:41.240000,0 days 00:00:27.029000,0 days 00:00:30.325000,0 days 00:00:43.886000
OCO,0 days 00:01:41.423000,0 days 00:00:27.049000,0 days 00:00:30.418000,0 days 00:00:43.956000
OCO,0 days 00:01:42.084000,0 days 00:00:27.082000,0 days 00:00:31.055000,0 days 00:00:43.947000
OCO,0 days 00:01:41.743000,0 days 00:00:27.150000,0 days 00:00:30.446000,0 days 00:00:44.147000
OCO,0 days 00:01:41.301000,0 days 00:00:26.945000,0 days 00:00:30.304000,0 days 00:00:44.052000
OCO,0 days 00:01:41.297000,0 days 00:00:26.952000,0 days 00:00:30.342000,0 days 00:00:44.003000
OCO,0 days 00:01:41.567000,0 days 00:00:26.962000,0 days 00:00:30.524000,0 days 00:00:44.081000
OCO,0 days 00:01:41.477000,0 days 00:00:26.927000,0 days 00:00:30.452000,0 days 00:00:44.098000
OCO,0 days 00:01:41.559000,0 days 00:00:26.953000,0 days 00:00:30.616000,0 days 00:00:43.990000
OCO,0 days 00:01:41.652000,0 days 00:00:27.039000,0 days 00:00:30.563000,0 days 00:00:44.050000
OCO,0 days 00:01:41.522000,0 days 00:00:26.963000,0 days 00:00:30.578000,0 days 00:00:43.981000
OCO,0 days 00:01:41.574000,0 days 00:00:26.940000,0 days 00:00:30.464000,0 days 00:00:44.170000
OCO,0 days 00:01:41.651000,0 days 00:00:27.090000,0 days 00:00:30.552000,0 days 00:00:44.009000
NOR,0 days 00:01:41.267000,0 days 00:00:26.911000,0 days 00:00:30.583000,0 days 00:00:43.773000
NOR,0 days 00:01:41.282000,0 days 00:00:26.859000,0 days 00:00:30.837000,0 days 00:00:43.586000
NOR,0 days 00:01:41.929000,0 days 00:00:27.067000,0 days 00:00:30.814000,0 days 00:00:44.048000
NOR,0 days 00:01:41.940000,0 days 00:00:27.170000,0 days 00:00:30.901000,0 days 00:00:43.869000
NOR,0 days 00:01:42.009000,0 days 00:00:27.086000,0 days 00:00:31.028000,0 days 00:00:43.895000
NOR,0 days 00:01:42.403000,0 days 00:00:27.022000,0 days 00:00:31.432000,0 days 00:00:43.949000
NOR,0 days 00:01:41.756000,0 days 00:00:27.141000,0 days 00:00:30.805000,0 days 00:00:43.810000
NOR,0 days 00:01:41.688000,0 days 00:00:27.142000,0 days 00:00:30.741000,0 days 00:00:43.805000
NOR,0 days 00:01:41.695000,0 days 00:00:27.120000,0 days 00:00:30.861000,0 days 00:00:43.714000
NOR,0 days 00:01:41.828000,0 days 00:00:27.163000,0 days 00:00:30.866000,0 days 00:00:43.799000
NOR,0 days 00:01:42.007000,0 days 00:00:27.266000,0 days 00:00:30.857000,0 days 00:00:43.884000
NOR,0 days 00:01:41.805000,0 days 00:00:27.251000,0 days 00:00:30.822000,0 days 00:00:43.732000
NOR,0 days 00:01:41.656000,0 days 00:00:27.225000,0 days 00:00:30.698000,0 days 00:00:43.733000
NOR,0 days 00:01:42.040000,0 days 00:00:27.341000,0 days 00:00:30.778000,0 days 00:00:43.921000
NOR,0 days 00:01:41.795000,0 days 00:00:27.205000,0 days 00:00:30.780000,0 days 00:00:43.810000
NOR,0 days 00:01:41.700000,0 days 00:00:27.132000,0 days 00:00:30.724000,0 days 00:00:43.844000
NOR,0 days 00:01:41.994000,0 days 00:00:27.352000,0 days 00:00:30.833000,0 days 00:00:43.809000
NOR,0 days 00:01:42.658000,0 days 00:00:27.345000,0 days 00:00:30.766000,0 days 00:00:44.547000
NOR,0 days 00:01:42.167000,0 days 00:00:27.181000,0 days 00:00:30.908000,0 days 00:00:44.078000
